"","x"
"fin_0355-2047_1905-01-01_1-00001_751676.txt.lemmatized",12
"fin_0355-2047_1905-01-01_1-00002_751676.txt.lemmatized",2
"fin_0355-2047_1905-01-01_1-00003_751676.txt.lemmatized",10
"fin_0355-2047_1905-01-01_1-00004_751676.txt.lemmatized",10
"fin_0355-2047_1905-01-01_1-00005_751676.txt.lemmatized",10
"fin_0355-2047_1905-01-01_1-00006_751676.txt.lemmatized",1
"fin_0355-2047_1905-01-01_1-00007_751676.txt.lemmatized",17
"fin_0355-2047_1905-01-01_1-00008_751676.txt.lemmatized",15
"fin_0355-2047_1905-01-03_2-00001_751678.txt.lemmatized",12
"fin_0355-2047_1905-01-03_2-00002_751678.txt.lemmatized",10
"fin_0355-2047_1905-01-03_2-00003_751678.txt.lemmatized",1
"fin_0355-2047_1905-01-03_2-00004_751678.txt.lemmatized",10
"fin_0355-2047_1905-01-03_2-00005_751678.txt.lemmatized",14
"fin_0355-2047_1905-01-03_2-00006_751678.txt.lemmatized",14
"fin_0355-2047_1905-01-03_2-00007_751678.txt.lemmatized",16
"fin_0355-2047_1905-01-03_2-00008_751678.txt.lemmatized",16
"fin_0355-2047_1905-01-04_3-00001_751679.txt.lemmatized",12
"fin_0355-2047_1905-01-04_3-00002_751679.txt.lemmatized",18
"fin_0355-2047_1905-01-04_3-00003_751679.txt.lemmatized",1
"fin_0355-2047_1905-01-04_3-00004_751679.txt.lemmatized",10
"fin_0355-2047_1905-01-04_3-00005_751679.txt.lemmatized",14
"fin_0355-2047_1905-01-04_3-00006_751679.txt.lemmatized",14
"fin_0355-2047_1905-01-04_3-00007_751679.txt.lemmatized",16
"fin_0355-2047_1905-01-04_3-00008_751679.txt.lemmatized",15
"fin_0355-2047_1905-01-05_4-00001_751680.txt.lemmatized",12
"fin_0355-2047_1905-01-05_4-00002_751680.txt.lemmatized",18
"fin_0355-2047_1905-01-05_4-00003_751680.txt.lemmatized",1
"fin_0355-2047_1905-01-05_4-00004_751680.txt.lemmatized",5
"fin_0355-2047_1905-01-05_4-00005_751680.txt.lemmatized",14
"fin_0355-2047_1905-01-05_4-00006_751680.txt.lemmatized",14
"fin_0355-2047_1905-01-05_4-00007_751680.txt.lemmatized",14
"fin_0355-2047_1905-01-05_4-00008_751680.txt.lemmatized",15
"fin_0355-2047_1905-01-06_5-00001_751681.txt.lemmatized",12
"fin_0355-2047_1905-01-06_5-00002_751681.txt.lemmatized",2
"fin_0355-2047_1905-01-06_5-00003_751681.txt.lemmatized",1
"fin_0355-2047_1905-01-06_5-00004_751681.txt.lemmatized",1
"fin_0355-2047_1905-01-06_5-00005_751681.txt.lemmatized",1
"fin_0355-2047_1905-01-06_5-00006_751681.txt.lemmatized",14
"fin_0355-2047_1905-01-06_5-00007_751681.txt.lemmatized",14
"fin_0355-2047_1905-01-06_5-00008_751681.txt.lemmatized",15
"fin_0355-2047_1905-01-08_6-00001_751682.txt.lemmatized",12
"fin_0355-2047_1905-01-08_6-00002_751682.txt.lemmatized",2
"fin_0355-2047_1905-01-08_6-00003_751682.txt.lemmatized",14
"fin_0355-2047_1905-01-08_6-00004_751682.txt.lemmatized",1
"fin_0355-2047_1905-01-08_6-00005_751682.txt.lemmatized",1
"fin_0355-2047_1905-01-08_6-00006_751682.txt.lemmatized",14
"fin_0355-2047_1905-01-08_6-00007_751682.txt.lemmatized",14
"fin_0355-2047_1905-01-08_6-00008_751682.txt.lemmatized",3
"fin_0355-2047_1905-01-10_7-00001_751683.txt.lemmatized",12
"fin_0355-2047_1905-01-10_7-00002_751683.txt.lemmatized",18
"fin_0355-2047_1905-01-10_7-00003_751683.txt.lemmatized",14
"fin_0355-2047_1905-01-10_7-00004_751683.txt.lemmatized",1
"fin_0355-2047_1905-01-10_7-00005_751683.txt.lemmatized",1
"fin_0355-2047_1905-01-10_7-00006_751683.txt.lemmatized",14
"fin_0355-2047_1905-01-10_7-00007_751683.txt.lemmatized",11
"fin_0355-2047_1905-01-10_7-00008_751683.txt.lemmatized",15
"fin_0355-2047_1905-01-11_8-00001_751684.txt.lemmatized",12
"fin_0355-2047_1905-01-11_8-00002_751684.txt.lemmatized",20
"fin_0355-2047_1905-01-11_8-00004_751684.txt.lemmatized",1
"fin_0355-2047_1905-01-11_8-00005_751684.txt.lemmatized",4
"fin_0355-2047_1905-01-11_8-00006_751684.txt.lemmatized",15
"fin_0355-2047_1905-01-11_8-00007_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00008_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00009_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00010_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00011_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00012_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00014_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00015_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00016_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00017_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00018_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00019_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00020_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00021_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00022_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00023_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00024_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00025_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00026_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00027_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00028_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00029_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-11_8-00030_751684.txt.lemmatized",10
"fin_0355-2047_1905-01-12_9-00001_751685.txt.lemmatized",2
"fin_0355-2047_1905-01-12_9-00002_751685.txt.lemmatized",1
"fin_0355-2047_1905-01-12_9-00003_751685.txt.lemmatized",1
"fin_0355-2047_1905-01-12_9-00004_751685.txt.lemmatized",14
"fin_0355-2047_1905-01-12_9-00005_751685.txt.lemmatized",9
"fin_0355-2047_1905-01-12_9-00006_751685.txt.lemmatized",15
"fin_0355-2047_1905-01-13_10-00001_751686.txt.lemmatized",2
"fin_0355-2047_1905-01-13_10-00002_751686.txt.lemmatized",1
"fin_0355-2047_1905-01-13_10-00003_751686.txt.lemmatized",1
"fin_0355-2047_1905-01-13_10-00004_751686.txt.lemmatized",1
"fin_0355-2047_1905-01-13_10-00005_751686.txt.lemmatized",14
"fin_0355-2047_1905-01-13_10-00006_751686.txt.lemmatized",16
"fin_0355-2047_1905-01-14_11-00001_751687.txt.lemmatized",2
"fin_0355-2047_1905-01-14_11-00002_751687.txt.lemmatized",18
"fin_0355-2047_1905-01-14_11-00003_751687.txt.lemmatized",1
"fin_0355-2047_1905-01-14_11-00004_751687.txt.lemmatized",14
"fin_0355-2047_1905-01-14_11-00005_751687.txt.lemmatized",14
"fin_0355-2047_1905-01-14_11-00006_751687.txt.lemmatized",3
"fin_0355-2047_1905-01-15_12-00001_751688.txt.lemmatized",12
"fin_0355-2047_1905-01-15_12-00002_751688.txt.lemmatized",2
