"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"fin_0355-2047_1905-01-01_1-00001_751676.txt.lemmatized",8.14795252396258e-05,0.0546000604233869,8.14795252473358e-05,8.14795252397093e-05,8.14795252438618e-05,8.14795252417372e-05,8.1479525245522e-05,8.14795252493446e-05,8.14795252481061e-05,8.14795252415931e-05,8.14795252473481e-05,0.794008076356821,0.123772493676367,8.14795252364776e-05,8.1479525234084e-05,0.0263156971395314,8.14795252463923e-05,8.14795252390914e-05,8.14795252462412e-05,8.14795252469582e-05
"fin_0355-2047_1905-01-01_1-00002_751676.txt.lemmatized",0.000132928443183964,0.890479858938189,0.000132928443205407,0.000132928443182976,0.000132928443193195,0.000132928443192248,0.000132928443188354,0.000132928443195944,0.00013292844318156,0.000132928443188598,0.000132928443183643,0.107127429084333,0.000132928443191113,0.000132928443186044,0.000132928443190851,0.000132928443203689,0.000132928443202898,0.000132928443192611,0.000132928443192348,0.000132928443222041
"fin_0355-2047_1905-01-01_1-00003_751676.txt.lemmatized",0.0477004455584303,0.135585136085453,3.58580921258277e-05,3.58580921252575e-05,3.58580921259414e-05,3.58580921274737e-05,3.58580921285841e-05,3.58580921263336e-05,3.5858092127272e-05,0.453511240943032,3.58580921288162e-05,3.5858092126098e-05,3.58580921277266e-05,3.5858092129463e-05,3.58580921245285e-05,3.58580921270709e-05,3.58580921303069e-05,0.362629447939047,3.58580921298416e-05,3.58580921266459e-05
"fin_0355-2047_1905-01-01_1-00004_751676.txt.lemmatized",0.130100007404468,2.64364644044815e-05,2.64364644063224e-05,2.64364644066236e-05,2.64364644071596e-05,2.64364644061661e-05,2.64364644065351e-05,2.64364644096951e-05,2.64364644073243e-05,0.269529766655101,2.64364644065459e-05,2.64364644083395e-05,0.267247223501921,2.64364644076234e-05,0.0064424319319388,2.64364644081734e-05,0.254188805683541,2.64364644042087e-05,2.64364644075341e-05,0.0721216543213329
"fin_0355-2047_1905-01-01_1-00005_751676.txt.lemmatized",0.185145762210093,2.12499487288015e-05,2.12499487293801e-05,2.12499487317154e-05,2.12499487321334e-05,2.12499487301403e-05,2.12499487317224e-05,2.12499487300004e-05,2.12499487321357e-05,0.551628768486574,0.108956970736396,2.12499487303824e-05,2.12499487328968e-05,2.12499487326201e-05,2.12499487297242e-05,2.12499487304976e-05,0.153928499387242,2.12499487285933e-05,2.12499487320294e-05,2.12499487320806e-05
"fin_0355-2047_1905-01-01_1-00006_751676.txt.lemmatized",0.300898250423468,0.0403423977759667,0.0237684512951982,0.182752376750962,0.0940755655147037,2.78724278542332e-05,0.00834395849202489,2.78724278531505e-05,2.78724278532137e-05,2.78724278530707e-05,0.0215462862269285,2.78724278555028e-05,2.78724278543753e-05,0.213221510552737,2.78724278553977e-05,2.78724278557045e-05,0.0686733333146094,2.78724278551901e-05,0.0460991453748556,2.78724278551733e-05
"fin_0355-2047_1905-01-01_1-00007_751676.txt.lemmatized",5.81607750396077e-05,0.0217204518775397,0.0908113080110305,0.0411382373771367,5.81607750409157e-05,5.81607750380069e-05,5.81607750370547e-05,0.0514203041284519,0.218292382578822,5.81607750388179e-05,5.81607750404195e-05,5.81607750402675e-05,5.81607750401833e-05,0.251205940464882,5.81607750343932e-05,0.0246285274151774,0.3000849188465,5.81607750321809e-05,5.81607750382461e-05,5.81607750396316e-05
"fin_0355-2047_1905-01-01_1-00008_751676.txt.lemmatized",4.18965267627148e-05,4.18965267728783e-05,0.379242288585206,4.18965267638954e-05,4.18965267661533e-05,4.18965267658329e-05,4.18965267677479e-05,4.18965267641457e-05,4.18965267641172e-05,4.1896526766065e-05,4.18965267642394e-05,4.18965267694295e-05,4.18965267654199e-05,4.1896526762731e-05,0.620003573933012,4.18965267653092e-05,4.18965267673261e-05,4.18965267635846e-05,4.18965267634088e-05,4.18965267666417e-05
"fin_0355-2047_1905-01-03_2-00001_751678.txt.lemmatized",7.46626557255575e-05,0.253686606578014,7.46626557327857e-05,7.46626557293826e-05,7.46626557287251e-05,0.0260837093737279,7.46626557307145e-05,7.46626557318493e-05,7.46626557331531e-05,7.4662655736766e-05,7.46626557280129e-05,0.643881244239995,7.46626557351954e-05,7.46626557264361e-05,7.46626557361818e-05,7.46626557360998e-05,0.0751538373165531,7.46626557307512e-05,7.46626557326003e-05,7.46626557354373e-05
"fin_0355-2047_1905-01-03_2-00002_751678.txt.lemmatized",3.55783929203971e-05,0.102600477951285,3.55783929177475e-05,0.0174531538332936,3.55783929185591e-05,3.55783929202865e-05,3.55783929190558e-05,3.55783929213015e-05,3.55783929194732e-05,0.513165616365881,3.55783929197503e-05,3.55783929188587e-05,0.0383017024490499,3.55783929204614e-05,3.55783929157109e-05,3.55783929169225e-05,0.0292919516492899,0.298689000250334,3.55783929193708e-05,3.55783929191615e-05
