"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","jota","helsinki","hyvä","japanilainen","saada","saapua","kokous","helsinki","saada","sääty","saada","helsinki","oma","oroat","yhtyä","pitäjä","saada","asianajaja","saada","senaatti"
"2","tulla","suomi","helsinki","oma","poliisi","arkipäivä","saada","virka","oma","hra","maa","kokoontua","saada","jota","juna","kauppias","tulla","matka","oma","saada"
"3","oroat","hanko","saada","japani","helsinki","lähteä","suomi","päivä","sen","asia","sen","suomi","asia","tulla","kerava","neiti","maa","telef","ilmestyä","myöntää"
"4","maa","höyrylaiva","past","saada","mies","juna","pitää","hakea","maa","maa","suuri","konttori","sen","jotta","hanko","helsinki","fen","unionink","tulla","tulla"
"5","siitä","päivä","huone","armeija","eräs","varten","sen","johtokunta","tulla","suomi","oma","kokous","tulla","roastaan","tampere","hra","sen","tri","sen","suomi"
"6","sitä","sunnuntai","kaikki","taistelu","eilen","helsinki","päättää","markka","hallitus","mietintö","tulla","päivä","tehdä","ottaa","tuleva","rouva","lukea","helsinki","maa","lääni"
"7","mitä","lähteä","hinta","sota","tulla","rata","tulla","myydä","venäjä","sen","sitä","johtokunta","maa","muta","menevä","saada","jota","erottaja","kaikki","oma"
"8","jotta","osakeyhtiö","myydä","asema","sen","palk","hra","ennen","kansa","kansa","kaikki","saada","kaikki","sen","viipuri","maria","suomi","castren","pietarinen","antaa"
"9","sen","keskiviikko","halpa","tieto","asia","pietari","maa","kunta","tehdä","saada","toinen","tiistai","kokous","pitää","pietarinen","herra","uusi","suomi","toinen","sen"
"10","fen","höyryl","varasto","port","hra","päivä","helsinki","täten","pitää","tehdä","lukea","ottaa","siitä","tehdä","kirkkonummi","insinööri","muu","aleksk","suuri","tehdä"
"11","roielä","ottaa","suuri","tehdä","saapua","tulla","asia","koulu","suuri","siitä","sanoa","täten","sitä","jofa","puolelta","viipuri","sitä","varatuomari","hinta","mainittu"
"12","pitää","ohjelma","myy","saapua","toinen","avoinna","jäsen","saada","kaikki","tulla","mitä","perjantai","pitää","fen","rouva","karl","puolue","annank","saapua","maa"
"13","saada","antaa","lähempi","sen","mainittu","sam","kaupunki","vuosi","asia","sitä","sitten","varten","suuri","roielä","hämeenlinna","osakeyhtiö","eittää","vaasa","antaa","marten"
"14","asia","hinta","paikka","kaikki","kaupunki","postitoimisto","saapua","huutokauppa","norja","oma","tehdä","kaikki","myös","venäjä","tammisaari","asia","senaatti","mikonk","seurata","suomalainen"
"15","suomi","lähempi","suomi","venäjä","sitten","osasto","yleinen","julistaa","uusi","laki","pitää","keskiviikko","kysymys","toinen","turunen","päivä","mies","axel","kirj","kaupunki"
"16","roiime","victor","lähettää","tulla","lähteä","sairaala","uusi","kansakoulu","kysymys","lausua","mies","talo","muu","antaa","kautta","oikeus","tie","esplk","eräs","helsinki"
"17","toinen","turku","haluta","suuri","tehdä","asema","lausua","hinta","sitä","puhuja","siitä","vuosi","hra","maa","porvoo","turku","ettei","antink","usea","anomus"
"18","fun","kirj","suom","kenraali","ottaa","kallio","tehdä","oppilas","puolue","anomus","elämä","yhtiö","mitä","fun","helsinki","senaatti","etta","silmä","muutama","eilen"
"19","muu","kuva","yhtyä","lähteä","kertoa","lähetys","toinen","elokuu","toinen","myös","ihminen","pitää","toinen","ettei","hyvä","maa","ottaa","lahti","venäjä","asia"
"20","työ","suuri","konttori","maa","oma","saada","seurata","asunto","ettei","hallitus","myös","maaliskuu","antaa","rooi","vaasa","suomi","oma","kaupunki","teos","esitys"
"21","muta","konsertti","kirkko","mies","talo","rautatie","ottaa","tieto","antaa","esitys","nähdä","torstai","sanoa","setä","karja","työmies","tuoda","lääkäri","kaupunki","markka"
"22","tehdä","saada","työ","luona","ilta","toinen","kysymys","antaa","sota","senaatti","paljo","maanantai","mikään","päättää","hra","talo","tehdä","avoinna","tänään","uusi"
"23","setä","lasti","toimi","toinen","häntä","uusi","kansa","tulla","oikeus","laillinen","täällä","osakeyhtiö","lehti","jonfa","järvenpää","tampere","jotta","iho","sisältää","ehdotus"
"24","ottaa","teatteri","pastori","risteilijä","seurata","lokak","seura","päivätä","mikään","olo","silloin","antaa","sellainen","uusi","imatra","kylässä","suuri","kallio","tehdä","kunta"
"25","antaa","huom","heti","tappio","antaa","viipuri","perustuslaillinen","oleva","siitä","istunto","siinä","tieto","mies","mikään","vasemmalta","anna","mitä","rosenqvist","pitää","päättää"
"26","mies","smk","telef","upseeri","tuli","töölö","oma","myös","ottaa","ehdotus","mikään","asia","eikä","mitä","toijala","toiminimi","hra","maa","osa","opettaja"
"27","tukea","tiistai","tehdä","amiraali","muu","lähtevä","myös","seurata","lukea","antaa","usea","myös","kunta","sitä","paikallisjuna","myöntää","lehti","nenä","laulu","määrätä"
"28","oma","lyypekki","varten","venäläinen","työmies","vuosi","lähettää","kuluessa","englanti","asetus","aina","lehti","kansa","siitä","kauppias","tuomita","joulu","heikink","alkaa","lukea"
"29","suuri","lapsi","vastaus","englanti","nähdä","sairashuone","suuri","ensi","japani","kaikki","suomi","ennen","jäsen","oliroat","lähtevä","ida","toimi","lindberg","kansakoulu","myös"
"30","helsinki","uusi","sunnuntai","ottaa","sanoa","sen","lukea","smk","myös","mitä","eikä","lappeenranta","siihen","eiroät","neiti","työm","pitää","iso","talo","johdosta"
"31","oliroat","tänään","huokea","artur","huone","ainoastaan","komitea","vapaa","muu","toimenpide","siellä","savonlinna","ottaa","mies","jyväskylä","tuomari","siitä","toimisto","henkilö","varten"
"32","roarten","matkustaja","uusi","tapahtua","mennä","joutua","eilen","tuleva","mitä","johdosta","herra","tulla","siinä","roaan","loviisa","tehdä","kansa","oulu","työmies","koskea"
"33","jofa","tukholma","myös","tokio","maa","tri","työ","opettaja","rauha","työ","muu","lähempi","ettei","foto","kotkanen","leski","uida","naist","opettaja","viipuri"
"34","aita","maanantai","maa","ranska","sama","vuorimieskatu","esittää","kesäkuu","yleinen","kysymys","pieni","hyvä","siis","saada","kotkata","juttu","antaa","hellsten","runo","vuosi"
"35","roaan","lippu","pyytää","sitä","viime","tauti","yhdistys","toukokuu","ranska","siihen","alkaa","sunnuntai","johdosta","aita","tikkurila","sen","taka","päivä","esittää","siitä"
"36","mikään","toukok","antaa","huhtik","siellä","jättää","lakko","rahatoimikamari","ruotsi","sellainen","jota","virka","henkilö","aidata","lappeenranta","kaupp","aan","sandelin","pietari","ottaa"
"37","siinä","hyvä","nuori","lausua","ennen","pall","ilta","kilo","asema","majesteetti","antaa","telef","kuitenkin","tukea","sortavala","tuomiokunta","helsinki","tele","kunta","komitea"
"38","herra","yliopisto","oleva","eräs","henkilö","lokakuu","puolesta","osakeyhtiö","sanoa","tahtoa","kansa","uusi","uusi","tammif","hamina","kirkkoherra","taa","yrjönk","tieto","seurata"
"39","ennen","laulu","päivä","osasto","todistaja","linja","opettaja","josta","sopimus","ettei","ettei","hakea","helsinki","suuri","herra","mainittu","herra","aksel","tapahtua","suorittaa"
"40","siihen","tammik","suomal","siitä","matka","lapsi","ponsi","kaupunki","tahtoa","oikeus","vielä","kutsua","tahtoa","toimi","saada","eilen","jolla","viipuri","ilta","kirjelmä"
"41","hra","perjantai","todistus","hallitus","ettei","hinta","johdosta","hakemus","kokous","huomauttaa","eräs","huhtikuu","tässä","eittää","suolahti","hanko","tahtoa","rohdoskauppa","tehdas","jättää"
"42","ettei","kaikki","muu","antaa","johdosta","posti","ehdotus","ottaa","kuningas","muu","tietää","tänään","jota","eräs","lähtee","kaupunki","eli","kuopio","ohjelma","jäsen"
"43","sitten","lauantai","nainen","joukko","kuolla","syysk","puolue","suomi","ennen","katsoa","aika","ensi","mainittu","tie","asemasilta","sofia","sama","heikel","esitys","yleinen"
"44","rooi","talo","saarna","lähettää","olimat","lokal","toimi","lähettää","alkaa","suuri","hyvä","toimittaa","puolue","ensi","turku","gustaf","nen","asianajotoimisto","talonpoika","suuri"
"45","uusi","kautta","vuosi","toukok","jota","viimeistään","siitä","hakija","lehti","jäsen","niittää","luokka","sitten","hinta","kaikki","pitäjäs","joulukuu","espl","työ","määräraha"
"46","eiroät","näytäntö","tieto","kiina","siitä","sunnunt","kaikki","puu","saattaa","ehdottaa","tahtoa","viipuri","tietää","tapahtua","kuopio","lokakuu","siihen","karvonen","neiti","muu"
"47","sanoa","torstai","asema","lontoo","tapahtua","suuri","sunnuntai","astua","moi","tässä","sellainen","smk","niittää","lehti","riihimäki","tukholma","lun","töölö","ottaa","toimi"
"48","jonfa","hra","vanha","meri","mikään","kaikki","suomalainen","tehdä","kuitenkin","jota","mennä","hinta","usea","fuin","pietari","todistaja","ten","konttori","konsertti","koulu"
"49","siis","numeroida","ostaa","tuli","sairaala","museo","viime","hyvä","jäsen","toinen","tuli","telefooni","yhdistys","roiime","rva","lontoo","asia","sairaala","mies","sitä"
"50","myös","ilta","huom","ampua","poika","tavata","puheenjohtaja","toimittaa","ryhtyä","valiokunta","lapsi","höyrylaiva","lausua","ilmestyä","oulu","saapua","eri","tampere","myös","sama"
